Primarily applies to the private sector,BERT_topic0,BERT_topic1,BERT_topic2,BERT_topic3,BERT_topic4,BERT_topic5,BERT_topic6,BERT_topic7,Authority_blue_state,Authority_federal_legislative,Authority_purple_state,Authority_red_state,enacted_binary,months_after_2019_02_11
0,0.1615582374805965,0.0510159918268155,0.1319999493725219,0.0450705843073808,0.0771858941405433,0.1493675563305279,0.07192616947439,0.1225086083706315,0,1,0,0,0,54
0,1.4829245096591645e-308,8.590084530322194e-309,1.096042959388635e-308,1.1905036776704036e-308,2.261264773553326e-308,1.2510809107690237e-308,1.0,1.8977011793144377e-308,0,0,0,1,1,66
1,0.0194991673793158,0.0123196795116508,0.0141241530124868,0.0296139889450118,0.8199922749060746,0.0176646367396651,0.0324037219498893,0.0391182819760703,1,0,0,0,0,48
0,0.0406148350619782,0.0303833294144824,0.0296552275673998,0.2074478350085208,0.114806983305435,0.0369284435218428,0.0572021334125645,0.0652917273587713,1,0,0,0,1,68
0,2.5454800624492473e-308,1.1972397917879224e-308,1.2541906590581533e-308,1.5786286514673705e-308,4.1043547551769777e-308,2.0299061623676253e-308,2.304329533924954e-308,1.0,1,0,0,0,1,65
0,0.0436192592191204,0.0329899973919953,0.0318293347730492,0.2671403241766139,0.1234342025308867,0.0398931300182873,0.061378998283763,0.0703683841676178,1,0,0,0,1,54
0,0.036317974379247,0.0273599492302617,0.0262002993087981,0.1727437719486647,0.137153181190155,0.0338377001392581,0.0520590813441988,0.0644741737209232,1,0,0,0,1,66
0,0.0395835671003759,0.0297249275182871,0.0290314400594953,0.202409840694446,0.1090718903922031,0.0360184111532489,0.0554836411380884,0.0629864113055791,0,0,0,1,1,61
0,0.0343020258661203,0.0281128620409993,0.0252740354460465,0.2545010565523161,0.1020125736790394,0.0331816384800233,0.0458070974298227,0.0579124318608543,0,0,1,0,0,50
0,0.045863347690114,0.0343014755212336,0.0330734007057411,0.2579290502463423,0.1386572622985187,0.0418422776581593,0.0655167253680628,0.0760102183630391,0,0,0,1,1,61
0,8.45108438898569e-309,7.016289420795053e-309,6.29200712939376e-309,1.0,2.035131773234882e-308,8.061475952309996e-309,1.1233659379952733e-308,1.314304321218428e-308,0,0,0,1,1,63
0,8.20071482942074e-309,7.050650265203714e-309,6.14696293062009e-309,1.0,1.821916596862992e-308,7.92151567024304e-309,1.0661455649533696e-308,1.2453854540092744e-308,1,0,0,0,1,65
0,2.4308916341212145e-308,1.1725772866317913e-308,1.27579275537461e-308,1.556146412772658e-308,3.77992965100973e-308,2.0551019234219693e-308,2.2406789149553695e-308,1.0,0,0,0,1,1,52
0,0.1720867450559069,0.0514724003556783,0.1236402237427833,0.0463459735216572,0.0803594787237402,0.1425341624213246,0.0741335412469658,0.1279912914648495,0,0,0,1,1,61
0,0.1599000715450955,0.1148139422942667,0.0776219867829133,0.0484211219977254,0.0739864432950817,0.2437866358781649,0.073336293447754,0.1925248251687306,0,1,0,0,0,62
0,0.0503731584663445,0.0387391472007147,0.0367247060372494,0.4098054454643679,0.1533974187863278,0.0469179375684008,0.0707012500725103,0.0842185734052758,0,0,0,1,1,63
0,1.416750331205154e-308,8.7610363020854e-309,9.883590709923277e-309,2.1885764249183077e-308,1.0,1.2631085084456957e-308,2.177942152248916e-308,3.1077931444804825e-308,1,0,0,0,1,56
0,1.2165062273988596e-308,1.0,8.839200646942916e-309,7.3457986272023e-309,9.25297322805864e-309,1.6801795170028547e-308,8.44743609603674e-309,1.5186315633513393e-308,0,0,0,0,1,69
1,1.383407154151056e-308,9.00679431094884e-309,9.69715002733043e-309,2.3618159542461905e-308,1.0,1.2497786543645685e-308,2.080638005544051e-308,2.8448756958783927e-308,1,0,0,0,1,64
1,0.0460564336249815,0.2949570040308662,0.0321934848002342,0.0250336288499714,0.0325499979807805,0.063464162424317,0.0317820637012234,0.0550972089421418,1,0,0,0,0,68
0,1.1574900128355924e-308,1.0,8.75054770202325e-309,7.283148590225155e-309,9.087858444976646e-309,1.6073433750677564e-308,8.258627050940585e-309,1.4498615723714174e-308,0,0,0,0,1,57
0,0.0290597077199042,0.0235393995687369,0.0216322590000313,0.5118718967470358,0.0705074401574933,0.0273299108128951,0.0394530445911651,0.044811912546337,0,0,0,1,1,65
0,0.0430972209157361,0.0327673447102526,0.0315754288487796,0.2745413797916483,0.1189614146271499,0.0394780596519873,0.0604430310094271,0.0688777146546799,1,0,0,0,1,56
0,8.245031478517886e-309,6.924440042356337e-309,6.17591731699376e-309,1.0,1.9086410720152376e-308,7.89164346407975e-309,1.0923205862073046e-308,1.2619712736548137e-308,1,0,0,0,1,54
0,1.5842053937387316e-308,8.81368524043215e-309,1.1711522351436517e-308,1.1509148538302844e-308,2.2515642625409145e-308,1.3327544838418755e-308,1.0,1.9853707666452665e-308,0,1,0,0,0,70
0,0.2204680828948713,0.0487209859257351,0.1012424649753193,0.0432617575628064,0.0746099412262252,0.1186521997943664,0.0695395719940438,0.1299949319453499,0,0,0,1,1,63
